,id,object_name,chain,object_type,address,number
2136,134237,Другой Бар,нет,бар,"город Москва, Азовская улица, дом 18",55
2137,154649,Донер Кебаб,нет,предприятие быстрого обслуживания,"город Москва, Азовская улица, дом 18",2
2138,23867,Чайхона Фаиза,нет,ресторан,"город Москва, Азовская улица, дом 18",88
2139,23866,ПОДЪЕЗД,нет,кафе,"город Москва, Болотниковская улица, дом 21, строение 2",50
2140,74281,Рюмочная,нет,кафе,"город Москва, Болотниковская улица, дом 21, строение 3",45
2141,23865,Вкус Востока,нет,ресторан,"город Москва, Болотниковская улица, дом 52, корпус 1",97
2142,154650,Донер Кебаб,нет,предприятие быстрого обслуживания,"город Москва, Болотниковская улица, дом 52, корпус 1",2
2143,154124,Кафе,нет,предприятие быстрого обслуживания,"город Москва, Болотниковская улица, дом 52, корпус 1",8
2144,154856,«ИП» Мураховский И.Ф,нет,предприятие быстрого обслуживания,"город Москва, улица Гарибальди, дом 27, корпус 4",0
2145,29393,Буфет ГБОУ «Школа № 7»,нет,столовая,"город Москва, улица Кравченко, дом 14",72
2146,21471,Столовая «Школа 1263»,нет,столовая,"город Москва, Ленинский проспект, дом 18А",100
2147,82698,Школьно-базовая столовая,нет,столовая,"город Москва, улица Бусиновская Горка, дом 7, корпус 2",180
2148,82699,Школьно-базовая столовая,нет,столовая,"город Москва, улица Бусиновская Горка, дом 7, корпус 1",180
2149,29463,Столовая гимназии № 1576,нет,столовая,"город Москва, 4-й Новомихалковский проезд, дом 9А",120
2150,73246,Быстрое питание,нет,кафе,"город Москва, Планерная улица, дом 14, корпус 1",1
2151,29638,Оникс,да,магазин (отдел кулинарии),"город Москва, Планерная улица, дом 14, корпус 1",1
2152,22241,ВИКТОРИЯ,нет,кафе,"город Москва, улица Свободы, дом 71, корпус 3",45
2153,22244,ЛЕГЕНДА,нет,кафе,"город Москва, улица Свободы, дом 71, корпус 3",130
2154,75078,Кафе «Покровское»,нет,кафе,"город Москва, Волоколамское шоссе, дом 116",30
2155,27829,СТОЛОВАЯ,нет,столовая,"город Москва, улица Героев Панфиловцев, дом 24",65
2156,28593,КОЛЛЕДЖ МАЛОГО БИЗНЕСА,нет,столовая,"город Москва, улица Вилиса Лациса, дом 29",130
2157,23360,Школа № 824,нет,столовая,"город Москва, проезд Стратонавтов, дом 15",100
2158,21405,Столовая при школе 2097,нет,столовая,"город Москва, Туристская улица, дом 11, корпус 2",96
2159,21394,Столовая ГБОУ СОШ № 1571,нет,буфет,"город Москва, улица Фомичёвой, дом 5",80
2160,21395,Столовая ГБОУ СОШ №1571,нет,буфет,"город Москва, улица Фомичёвой, дом 5",80
2161,19828,Школа № 834,нет,столовая,"город Москва, улица Свободы, дом 3, корпус 1",90
2162,21406,Столовая при школе 2097,нет,столовая,"город Москва, Сходненская улица, дом 35",80
2163,21104,ВЕГЕТО,нет,столовая,"город Москва, улица Добролюбова, дом 2, строение 1",40
2164,66241,ОБЖОРА,нет,столовая,"город Москва, улица Молодцова, дом 21",40
2165,26193,АКБАШ,нет,ресторан,"город Москва, Полярная улица, дом 21",230
2166,27452,СТОЛОВАЯ ПРИ ШК. 276,нет,столовая,"город Москва, проезд Шокальского, дом 61",240
2167,59187,Кафе «День и Ночь»,нет,кафе,"город Москва, улица Лескова, дом 34",200
2168,23129,Буфет,нет,буфет,"город Москва, Полярная улица, владение 39Б, строение 1",20
2169,28767,ГБОУ Школа № 1411( 958),нет,столовая,"город Москва, Северный бульвар, дом 11",120
2170,28720,СТОЛОВАЯ ПРИ ШК. N960,нет,столовая,"город Москва, улица Конёнкова, дом 4А",300
2171,28712,СТОЛОВАЯ ПРИ ШК. N332,нет,столовая,"город Москва, улица Корнейчука, дом 52А",240
