,Kod,Name,global_id,Latin_name,Type,Kod_okato,Unnamed: 6
106,800,Западный административный округ,58703665,Zapadny'j administrativny'j okrug,2,45268000,
107,805,район Дорогомилово,58703666,rajon Dorogomilovo,3,45268554,
108,806,район Крылатское,58703667,rajon Kry'latskoe,3,45268560,
109,807,район Кунцево,58703668,rajon Kunczevo,3,45268562,
110,809,Можайский район,58703669,Mozhajskij rajon,3,45268569,
111,811,район Ново-Переделкино,58703670,rajon Novo-Peredelkino,3,45268577,
112,813,район Внуково,58703671,rajon Vnukovo,3,45268552,
113,814,район Проспект Вернадского,58703672,rajon Prospekt Vernadskogo,3,45268581,
114,815,район Раменки,58703673,rajon Ramenki,3,45268584,
115,816,район Солнцево,58703674,rajon Solnczevo,3,45268588,
116,817,район Тропарёво-Никулино,58703675,rajon Troparyovo-Nikulino,3,45268592,
117,818,район Филёвский Парк,58703676,rajon Filyovskij Park,3,45268595,
118,819,район Фили-Давыдково,58703677,rajon Fili-Davy'dkovo,3,45268597,
119,820,район Очаково-Матвеевское,58703678,rajon Ochakovo-Matveevskoe,3,45268579,
120,900,Северо-Западный административный округ,58703679,Severo-Zapadny'j administrativny'j okrug,2,45283000,
121,901,район Куркино,58703680,rajon Kurkino,3,45283555,
122,902,район Митино,58703681,rajon Mitino,3,45283559,
123,903,район Покровское-Стрешнево,58703682,rajon Pokrovskoe-Streshnevo,3,45283569,
124,904,район Северное Тушино,58703683,rajon Severnoe Tushino,3,45283573,
125,905,район Строгино,58703684,rajon Strogino,3,45283577,
126,906,район Хорошёво-Мнёвники,58703685,rajon Xoroshyovo-Mnyovniki,3,45283582,
127,907,район Щукино,58703686,rajon Shhukino,3,45283587,
128,908,район Южное Тушино,58703687,rajon Yuzhnoe Tushino,3,45283593,
129,1000,Зеленоградский административный округ,58703688,Zelenogradskij administrativny'j okrug,2,45272000,
130,1005,район Крюково,58703689,rajon Kryukovo,3,45272580,
131,1009,район Матушкино,58703690,rajon Matushkino,3,45272562,
132,1010,район Савёлки,58703691,rajon Savyolki,3,45272568,
133,1011,район Силино,58703692,rajon Silino,3,45272572,
134,1012,район Старое Крюково,58703693,rajon Staroe Kryukovo,3,45272576,
135,1100,Новомосковский административный округ,58703694,Novomoskovskij administrativny'j okrug,2,45297000,
136,1101,поселение Внуковское,58703695,poselenie Vnukovskoe,4,45297552,
137,1102,поселение Воскресенское,58703696,poselenie Voskresenskoe,4,45297554,
138,1103,поселение Десеновское,58703697,poselenie Desenovskoe,4,45297556,
139,1104,поселение Кокошкино,58703698,poselenie Kokoshkino,4,45297559,
140,1105,поселение Марушкинское,58703699,poselenie Marushkinskoe,4,45297562,
141,1106,поселение Московский,58703700,poselenie Moskovskij,4,45297565,
142,1107,"поселение ""Мосрентген""",58703701,"poselenie ""Mosrentgen""",4,45297568,
143,1108,поселение Рязановское,58703702,poselenie Ryazanovskoe,4,45297571,
144,1109,поселение Сосенское,58703703,poselenie Sosenskoe,4,45297574,
145,1110,поселение Филимонковское,58703704,poselenie Filimonkovskoe,4,45297577,
146,1111,поселение Щербинка,58703705,poselenie Shherbinka,4,45297581,
147,1200,Троицкий административный округ,58703706,Troiczkij administrativny'j okrug,2,45298000,
148,1201,поселение Вороновское,58703707,poselenie Voronovskoe,4,45298553,
149,1202,поселение Киевский,58703708,poselenie Kievskij,4,45298555,
150,1203,поселение Кленовское,58703709,poselenie Klenovskoe,4,45298558,
151,1204,поселение Краснопахорское,58703710,poselenie Krasnopaxorskoe,4,45298561,
152,1205,поселение Михайлово-Ярцевское,58703711,poselenie Mixajlovo-Yarczevskoe,4,45298564,
153,1206,поселение Новофедоровское,58703712,poselenie Novofedorovskoe,4,45298567,
154,1207,поселение Первомайское,58703713,poselenie Pervomajskoe,4,45298572,
155,1208,поселение Роговское,58703714,poselenie Rogovskoe,4,45298575,
156,1209,поселение Троицк,58703715,poselenie Troiczk,4,45298578,
157,1210,поселение Щаповское,58703716,poselenie Shhapovskoe,4,45298583,
