,UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,Unnamed: 9
3917,063729,83-й километр Московской Кольцевой Автодороги,58485040,83-й км МКАД,Vosem`desyat Tretij kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0306;0315,77000000000729700,
3918,063730,84-й километр Московской Кольцевой Автодороги,58485041,84-й км МКАД,Vosem`desyat Chetvyorty'j kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0304,77000000000738100,
3919,063731,85-й километр Московской Кольцевой Автодороги,58485042,85-й км МКАД,Vosem`desyat Pyaty'j kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0304,,
3920,063732,86-й километр Московской Кольцевой Автодороги,58485043,86-й км МКАД,Vosem`desyat Shestoj kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0304,50019000043000900,
3921,063733,87-й километр Московской Кольцевой Автодороги,58485044,87-й км МКАД,Vosem`desyat Sed`moj kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0304,77000000000729800,
3922,063734,88-й километр Московской Кольцевой Автодороги,58485045,88-й км МКАД,Vosem`desyat Vos`moj kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0304,,
3923,063735,89-й километр Московской Кольцевой Автодороги,58485046,89-й км МКАД,Vosem`desyat Devyaty'j kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0314,77000000000729900,
3924,063736,90-й километр Московской Кольцевой Автодороги,58485047,90-й км МКАД,Devyanosty'j kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0314,77000000000741300,
3925,063737,91-й километр Московской Кольцевой Автодороги,58485048,91-й км МКАД,Devyanosto Pervy'j kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0307,77000000000750100,
3926,063738,92-й километр Московской Кольцевой Автодороги,58485049,92-й км МКАД,Devyanosto Vtoroj kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0307,77000000000746000,
3927,063739,93-й километр Московской Кольцевой Автодороги,58485050,93-й км МКАД,Devyanosto Tretij kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0307;0317,77000000000738200,
3928,063740,94-й километр Московской Кольцевой Автодороги,58485051,94-й км МКАД,Devyanosto Chetvyorty'j kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0317,77000000000750200,
3929,063741,95-й километр Московской Кольцевой Автодороги,58485052,95-й км МКАД,Devyanosto Pyaty'j kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0317;0410,,
